BODAL CHEMICALS LTD,BODALCHEM,55
BOMBAY DYEING & MFG. CO L,BOMDYEING,55
BOSCH LIMITED,BOSCHLTD,70
BHARAT PETROLEUM CORP LT,BPCL,65
BRIGADE ENTER. LTD,BRIGADE,60
BRITANNIA INDUSTRIES LTD,BRITANNIA,70
BIRLASOFT LIMITED,BSOFT,65
CAMLIN FINE SCIENCES LTD,CAMLINFINE,60
CAMPUS ACTIVEWEAR LIMITED,CAMPUS,65
COMPUTER AGE MNGT SER LTD,CAMS,65
CANARA BANK,CANBK,65
CAN FIN HOMES LTD,CANFINHOME,65
CAPACITE INFRAPROJECT LTD,CAPACITE,50
CAPLIN POINT LAB LTD.,CAPLIPOINT,55
CARBORUNDUM UNIVERSAL LTD,CARBORUNIV,60
CARE RATINGS LIMITED,CARERATING,45
CARTRADE TECH LIMITED,CARTRADE,50
CASTROL INDIA LIMITED,CASTROLIND,60
CCL PRODUCTS (I) LTD,CCL,60
CEAT LIMITED,CEATLTD,55
CENTURY ENKA LTD,CENTENKA,45
CENTRAL BANK OF INDIA,CENTRALBK,55
CENTURY PLYBOARDS (I) LTD,CENTURYPLY,60
CERA SANITARYWARE LTD,CERA,60
CESC LTD,CESC,65
CAPRI GLOBAL CAPITAL LTD,CGCL,50
CG POWER AND IND SOL LTD,CGPOWER,60
CHALET HOTELS LIMITED,CHALET,60
CHAMBAL FERTILIZERS LTD,CHAMBLFERT,35
CHEMCON SPECIAL CHEM LTD,CHEMCON,55
CHEMPLAST SANMAR LIMITED,CHEMPLASTS,45
CHENNAI PETROLEUM CORP LT,CHENNPETRO,55
CHOLAMANDALAM IN & FIN CO,CHOLAFIN,65
CHOLAMANDALAM FIN HOL LTD,CHOLAHLDNG,40
CIE AUTOMOTIVE INDIA LTD,CIEINDIA,60
CIGNITI TECHNOLOGIES LTD,CIGNITITEC,55
CIPLA LTD,CIPLA,70
CLEAN SCIENCE & TECH LTD,CLEAN,65
CMS INFO SYSTEMS LIMITED,CMSINFO,65
COAL INDIA LTD,COALINDIA,65
COFORGE LIMITED,COFORGE,65
COLGATE PALMOLIVE LTD.,COLPAL,70
CONTAINER CORP OF IND LTD,CONCOR,65
CONCORD BIOTECH LIMITED,CONCORDBIO,35
COROMANDEL INTERNTL. LTD,COROMANDEL,70
CPSE ETF,CPSEETF,70
CRAFTSMAN AUTOMATION LTD,CRAFTSMAN,45
CREDITACCESS GRAMEEN LTD,CREDITACC,60
CRISIL LTD,CRISIL,60
CROMPT GREA CON ELEC LTD,CROMPTON,70
CSB BANK LIMITED,CSBBANK,55
CITY UNION BANK LTD,CUB,65
CUMMINS INDIA LTD,CUMMINSIND,65
CYIENT LIMITED,CYIENT,60
DABUR INDIA LTD,DABUR,70
DALMIA BHARAT LIMITED,DALBHARAT,70
DATA PATTERNS INDIA LTD,DATAPATTNS,45
DILIP BUILDCON LIMITED,DBL,50
DCB BANK LIMITED,DCBBANK,60
DCM SHRIRAM LIMITED,DCMSHRIRAM,60
DCM SHRIRAM IND LTD,DCMSRIND,60
DEEPAK NITRITE LTD,DEEPAKNTR,65
DEEP INDUSTRIES LIMITED,DEEPINDS,50
DELHIVERY LIMITED,DELHIVERY,60
DELTA CORP LIMITED,DELTACORP,60
DEN NETWORKS LTD,DEN,50
DEVYANI INTERNATIONAL LTD,DEVYANI,60
DHAMPUR SUGAR MILLS LTD.,DHAMPURSUG,60
DHANUKA AGRITECH LTD,DHANUKA,45
DIVI S LABORATORIES LTD,DIVISLAB,70
DLF LIMITED,DLF,65
AVENUE SUPERMARTS LIMITED,DMART,65
DR. REDDY S LABORATORIES,DRREDDY,70
DWARIKESH SUGAR IND LTD,DWARKESH,60
EASY TRIP PLANNERS LTD,EASEMYTRIP,50
ECLERX SERVICES LTD,ECLERX,60
EICHER MOTORS LTD,EICHERMOT,70
EID PARRY INDIA LTD,EIDPARRY,60
EIH LIMITED,EIHOTEL,50
ELECON ENG. CO. LTD,ELECON,50
ELGI EQUIPMENTS LTD,ELGIEQUIP,55
EMAMI LIMITED,EMAMILTD,45
EMBASSY DEVELOPMENTS LTD,EMBDL,55
EMUDHRA LIMITED,EMUDHRA,35
ENDURANCE TECHNO. LTD.,ENDURANCE,60
ENGINEERS INDIA LTD,ENGINERSIN,55
ENTERTAIN NET. IND. LTD.,ENIL,50
EPIGRAL LIMITED,EPIGRAL,50
EPL LIMITED,EPL,55
EQUITAS SMALL FIN BNK LTD,EQUITASBNK,60
ERIS LIFESCIENCES LIMITED,ERIS,55
ESAB INDIA LTD,ESABINDIA,55
ESCORTS KUBOTA LIMITED,ESCORTS,65
ESTER INDUSTRIES LTD,ESTER,50
EVEREADY INDS. IND. LTD.,EVEREADY,60
EXCEL INDUSTRIES LTD,EXCELINDUS,50
EXIDE INDUSTRIES LTD,EXIDEIND,50
EXPLEO SOLUTIONS LIMITED,EXPLEOSOL,55
EXXARO TILES LIMITED,EXXARO,45
FACT LTD,FACT,50
FDC LIMITED,FDC,60
FEDERAL BANK LTD,FEDERALBNK,70
FIEM INDUSTRIES LIMITED,FIEMIND,55
FILATEX INDIA LTD,FILATEX,50
FINOLEX CABLES LTD,FINCABLES,50
FINE ORGANIC IND. LTD.,FINEORG,60
FINO PAYMENTS BANK LTD,FINOPB,50
FINOLEX INDUSTRIES LTD,FINPIPE,55
